strain	PC1
AB1	0.0556471756396577
CB4852	-1.52928873311453
CB4854	-0.409924906310064
CB4856	2.79321234880832
CB4857	-2.96780093454765
CB4858	1.22927867862294
CB4932	-1.47895470173775
CX11262	-2.39179280606784
CX11264	0.966174480550894
CX11271	1.05388841058659
CX11276	2.11413081786944
CX11285	-1.52839829011637
CX11292	-0.455209915846118
CX11307	-0.122826971114432
CX11314	-1.97471749440959
CX11315	-2.67339252919803
DL200	0.311196344358686
DL226	1.90241501709408
DL238	-3.62947846140248
ED3005	3.59137701421353
ED3011	3.34390832033828
ED3012	NA
ED3040	0.846826125105707
ED3046	1.3444122856732
ED3048	1.97428237967549
ED3049	1.17424913097208
ED3052	-0.907978572909989
ED3073	0.462850237663423
ED3077	-0.268498493744728
EG4347	-1.30597189503375
EG4349	0.514934232221831
EG4724	2.66829859594303
EG4725	-0.245537208079215
EG4946	1.39949179160756
JT11398	0.389883515264186
JU1172	0.856970868083603
JU1200	0.207614525244276
JU1212	-0.689541051270503
JU1213	-0.812998870671107
JU1242	1.70172449962336
JU1246	-2.39121931017584
JU1395	0.495093586786844
JU1409	1.66116293796012
JU1440	0.433754906108592
JU1491	-0.809343718729932
JU1530	-0.0610895332676219
JU1568	2.37201144485423
JU1580	-3.752806564937
JU1581	0.339036899534926
JU1586	-0.22891636094503
JU1652	1.51074139990487
JU1896	-0.417075869900118
JU258	-1.89822338722004
JU310	0.410027322158147
JU311	0.27216806920084
JU323	0.289321867031384
JU346	-2.58103826777226
JU360	0.294301498629217
JU367	-2.00257014307348
JU393	0.0380747034640434
JU394	0.144602046680956
JU406	-0.06660784767806
JU440	0.538620802447205
JU561	0.72914148437596
JU642	-0.362683910988543
JU751	-0.967394753140509
JU774	0.0329930870921167
JU778	-1.4713673648263
JU782	1.70936948909224
JU792	-1.45600027472861
JU830	-1.01352429549833
JU847	-0.578233756439931
KR314	3.52687238834949
LKC34	-2.62935236950851
LSJ1	-1.61643089981728
MY1	-1.81281788269565
MY10	1.47879928357565
MY16	2.74110604600823
MY18	0.231470957900983
MY23	-1.07691884190868
N2	0.168147480651941
PB303	1.86192609506793
PB306	-0.590570137192128
PX179	-4.35211063933017
RC301	2.34882201597727
WN2002	0.998275357334803
