strain	mean.TOF
AB1	0.196578225379908
CB4852	-33.9039276655867
CB4854	-5.39661487685888
CB4856	56.2572502660372
CB4857	-44.0942712155679
CB4858	26.1646343202665
CB4932	-4.44011441960926
CX11262	-22.3342153688774
CX11264	23.5074454093652
CX11271	47.5026413874613
CX11276	40.1295959932893
CX11285	-47.4548391588632
CX11292	-0.194904818915226
CX11307	-18.5426938610308
CX11314	-31.2191454136394
CX11315	-61.3869639628507
DL200	7.62855578739392
DL226	20.0973324679737
DL238	-54.7225131859637
ED3005	83.8512254213885
ED3011	83.6730292394646
ED3012	44.3449671466598
ED3040	4.25257359266141
ED3046	37.7236157310623
ED3048	21.065141249372
ED3049	40.1269510806277
ED3052	-16.3291989712926
ED3073	3.12187214399918
ED3077	-24.6419372424714
EG4347	-33.1393856766584
EG4349	-1.38406242487215
EG4724	48.9679247438538
EG4725	1.18205663551197
EG4946	7.24018838846699
JT11398	-11.8465061467338
JU1172	-4.24407622612415
JU1200	8.69446237767903
JU1212	4.74680032810415
JU1213	-34.2753612989665
JU1242	27.0870950412157
JU1246	-57.4365441588902
JU1395	6.2118650824159
JU1409	29.9923861302655
JU1440	16.0423320168386
JU1491	-17.7968289946653
JU1530	-14.4301690538458
JU1568	26.3618858013979
JU1580	-66.8107301065669
JU1581	18.7304481590274
JU1586	15.4428457363955
JU1652	9.45048028382001
JU1896	-2.27586930469483
JU258	-31.3648098048487
JU310	2.59706835273132
JU311	25.5296493783017
JU323	0.294905108246637
JU346	-40.6637566528524
JU360	12.5127095584854
JU367	-29.3101975236078
JU393	-0.00502463776935569
JU394	-6.29774739850639
JU406	-24.7329651320526
JU440	6.69700041425026
JU561	13.6618991225672
JU642	-1.72206016305156
JU751	-11.812161564727
JU774	21.9508343382822
JU778	-28.7400771732691
JU782	3.47371635292617
JU792	-25.7884403935253
JU830	-0.475929086966492
JU847	-5.46612536367467
KR314	54.0464218429723
LKC34	-29.7156596646986
LSJ1	-24.6440517488084
MY1	-34.6230796872192
MY10	3.71891449342757
MY16	45.4613579285264
MY18	21.2128280088222
MY23	-1.99211700325783
N2	30.9229540044317
PB303	21.0386484055817
PB306	-4.01406130046626
PX179	-71.2737754149764
RC301	43.486497209658
WN2002	-22.6760889757643
