CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	37	5000	1	105	No	NA	Telomeric	NIC266
I	10000	20000	31	15000	2	105	No	NA	Telomeric	NIC266
I	20000	30000	18	25000	3	105	No	NA	Telomeric	NIC266
I	30000	40000	19	35000	4	105	No	NA	Telomeric	NIC266
I	40000	50000	29	45000	5	105	No	NA	Telomeric	NIC266
I	50000	60000	12	55000	6	105	No	NA	Telomeric	NIC266
I	60000	70000	21	65000	7	105	No	NA	Telomeric	NIC266
I	70000	80000	22	75000	8	105	No	NA	Telomeric	NIC266
I	80000	90000	23	85000	9	105	No	NA	Telomeric	NIC266
I	90000	100000	24	95000	10	105	No	NA	Telomeric	NIC266
I	100000	110000	23	105000	11	105	No	NA	Telomeric	NIC266
I	110000	120000	17	115000	12	105	No	NA	Telomeric	NIC266
I	120000	130000	21	125000	13	105	No	NA	Telomeric	NIC266
I	130000	140000	22	135000	14	105	No	NA	Telomeric	NIC266
I	140000	150000	14	145000	15	105	No	NA	Telomeric	NIC266
I	150000	160000	14	155000	16	105	No	NA	Telomeric	NIC266
I	160000	170000	19	165000	17	105	No	NA	Telomeric	NIC266
I	170000	180000	18	175000	18	105	No	NA	Telomeric	NIC266
I	180000	190000	16	185000	19	105	No	NA	Telomeric	NIC266
I	190000	200000	23	195000	20	105	No	NA	Telomeric	NIC266
I	200000	210000	30	205000	21	105	No	NA	Telomeric	NIC266
I	210000	220000	25	215000	22	105	No	NA	Telomeric	NIC266
I	220000	230000	22	225000	23	105	No	NA	Telomeric	NIC266
I	230000	240000	48	235000	24	105	No	NA	Telomeric	NIC266
I	240000	250000	20	245000	25	105	No	NA	Telomeric	NIC266
I	250000	260000	30	255000	26	105	No	NA	Telomeric	NIC266
I	260000	270000	26	265000	27	105	No	NA	Telomeric	NIC266
I	270000	280000	28	275000	28	105	No	NA	Telomeric	NIC266
I	280000	290000	19	285000	29	105	No	NA	Telomeric	NIC266
I	290000	300000	19	295000	30	105	No	NA	Telomeric	NIC266
I	300000	310000	22	305000	31	105	No	NA	Telomeric	NIC266
I	310000	320000	19	315000	32	105	No	NA	Telomeric	NIC266
I	320000	330000	17	325000	33	105	No	NA	Telomeric	NIC266
I	330000	340000	23	335000	34	105	No	NA	Telomeric	NIC266
I	340000	350000	28	345000	35	105	No	NA	Telomeric	NIC266
I	350000	360000	16	355000	36	105	No	NA	Telomeric	NIC266
I	360000	370000	19	365000	37	105	No	NA	Telomeric	NIC266
I	370000	380000	29	375000	38	105	No	NA	Telomeric	NIC266
I	380000	390000	20	385000	39	105	No	NA	Telomeric	NIC266
I	390000	400000	20	395000	40	105	No	NA	Telomeric	NIC266
I	400000	410000	34	405000	41	105	No	NA	Telomeric	NIC266
I	410000	420000	27	415000	42	105	No	NA	Telomeric	NIC266
I	420000	430000	26	425000	43	105	No	NA	Telomeric	NIC266
I	430000	440000	25	435000	44	105	No	NA	Telomeric	NIC266
I	440000	450000	13	445000	45	105	No	NA	Telomeric	NIC266
I	450000	460000	12	455000	46	105	No	NA	Telomeric	NIC266
I	460000	470000	18	465000	47	105	No	NA	Telomeric	NIC266
I	470000	480000	12	475000	48	105	No	NA	Telomeric	NIC266
I	480000	490000	9	485000	49	105	No	NA	Telomeric	NIC266
I	490000	500000	17	495000	50	105	No	NA	Telomeric	NIC266
I	500000	510000	9	505000	51	105	No	NA	Telomeric	NIC266
I	510000	520000	6	515000	52	105	No	NA	Telomeric	NIC266
I	520000	530000	8	525000	53	105	No	NA	Telomeric	NIC266
I	530000	540000	10	535000	54	105	No	NA	LEFT_ARM	NIC266
I	540000	550000	11	545000	55	105	No	NA	LEFT_ARM	NIC266
I	550000	560000	7	555000	56	105	No	NA	LEFT_ARM	NIC266
I	560000	570000	7	565000	57	105	No	NA	LEFT_ARM	NIC266
I	570000	580000	15	575000	58	105	No	NA	LEFT_ARM	NIC266
I	580000	590000	8	585000	59	105	No	NA	LEFT_ARM	NIC266
I	590000	600000	9	595000	60	105	No	NA	LEFT_ARM	NIC266
I	600000	610000	5	605000	61	105	No	NA	LEFT_ARM	NIC266
I	610000	620000	19	615000	62	105	No	NA	LEFT_ARM	NIC266
I	620000	630000	30	625000	63	105	No	NA	LEFT_ARM	NIC266
I	630000	640000	51	635000	64	105	No	NA	LEFT_ARM	NIC266
I	640000	650000	45	645000	65	105	No	NA	LEFT_ARM	NIC266
I	650000	660000	16	655000	66	105	No	NA	LEFT_ARM	NIC266
I	660000	670000	9	665000	67	105	No	NA	LEFT_ARM	NIC266
I	670000	680000	5	675000	68	105	No	NA	LEFT_ARM	NIC266
I	680000	690000	6	685000	69	105	No	NA	LEFT_ARM	NIC266
I	690000	700000	11	695000	70	105	No	NA	LEFT_ARM	NIC266
I	700000	710000	8	705000	71	105	No	NA	LEFT_ARM	NIC266
I	710000	720000	10	715000	72	105	No	NA	LEFT_ARM	NIC266
I	720000	730000	10	725000	73	105	No	NA	LEFT_ARM	NIC266
I	730000	740000	16	735000	74	105	No	NA	LEFT_ARM	NIC266
I	740000	750000	13	745000	75	105	No	NA	LEFT_ARM	NIC266
I	750000	760000	5	755000	76	105	No	NA	LEFT_ARM	NIC266
I	760000	770000	6	765000	77	105	No	NA	LEFT_ARM	NIC266
I	770000	780000	9	775000	78	105	No	NA	LEFT_ARM	NIC266
I	780000	790000	20	785000	79	105	No	NA	LEFT_ARM	NIC266
I	790000	800000	15	795000	80	105	No	NA	LEFT_ARM	NIC266
I	800000	810000	28	805000	81	105	No	NA	LEFT_ARM	NIC266
