CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	40	5000	1	105	No	NA	Telomeric	QX1794
I	10000	20000	19	15000	2	105	No	NA	Telomeric	QX1794
I	20000	30000	15	25000	3	105	No	NA	Telomeric	QX1794
I	30000	40000	20	35000	4	105	No	NA	Telomeric	QX1794
I	40000	50000	23	45000	5	105	No	NA	Telomeric	QX1794
I	50000	60000	13	55000	6	105	No	NA	Telomeric	QX1794
I	60000	70000	20	65000	7	105	No	NA	Telomeric	QX1794
I	70000	80000	18	75000	8	105	No	NA	Telomeric	QX1794
I	80000	90000	19	85000	9	105	No	NA	Telomeric	QX1794
I	90000	100000	20	95000	10	105	No	NA	Telomeric	QX1794
I	100000	110000	21	105000	11	105	No	NA	Telomeric	QX1794
I	110000	120000	17	115000	12	105	No	NA	Telomeric	QX1794
I	120000	130000	26	125000	13	105	No	NA	Telomeric	QX1794
I	130000	140000	22	135000	14	105	No	NA	Telomeric	QX1794
I	140000	150000	12	145000	15	105	No	NA	Telomeric	QX1794
I	150000	160000	11	155000	16	105	No	NA	Telomeric	QX1794
I	160000	170000	18	165000	17	105	No	NA	Telomeric	QX1794
I	170000	180000	18	175000	18	105	No	NA	Telomeric	QX1794
I	180000	190000	15	185000	19	105	No	NA	Telomeric	QX1794
I	190000	200000	16	195000	20	105	No	NA	Telomeric	QX1794
I	200000	210000	26	205000	21	105	No	NA	Telomeric	QX1794
I	210000	220000	24	215000	22	105	No	NA	Telomeric	QX1794
I	220000	230000	31	225000	23	105	No	NA	Telomeric	QX1794
I	230000	240000	66	235000	24	42	Yes	Up	Telomeric	QX1794
I	240000	250000	20	245000	25	105	No	NA	Telomeric	QX1794
I	250000	260000	31	255000	26	105	No	NA	Telomeric	QX1794
I	260000	270000	27	265000	27	105	No	NA	Telomeric	QX1794
I	270000	280000	30	275000	28	105	No	NA	Telomeric	QX1794
I	280000	290000	18	285000	29	105	No	NA	Telomeric	QX1794
I	290000	300000	19	295000	30	105	No	NA	Telomeric	QX1794
