CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	34	5000	1	105	No	NA	Telomeric	MY2741
I	10000	20000	27	15000	2	105	No	NA	Telomeric	MY2741
I	20000	30000	18	25000	3	105	No	NA	Telomeric	MY2741
I	30000	40000	21	35000	4	105	No	NA	Telomeric	MY2741
I	40000	50000	25	45000	5	105	No	NA	Telomeric	MY2741
I	50000	60000	22	55000	6	105	No	NA	Telomeric	MY2741
I	60000	70000	25	65000	7	105	No	NA	Telomeric	MY2741
I	70000	80000	28	75000	8	105	No	NA	Telomeric	MY2741
I	80000	90000	19	85000	9	105	No	NA	Telomeric	MY2741
I	90000	100000	23	95000	10	105	No	NA	Telomeric	MY2741
I	100000	110000	23	105000	11	105	No	NA	Telomeric	MY2741
I	110000	120000	20	115000	12	105	No	NA	Telomeric	MY2741
I	120000	130000	23	125000	13	105	No	NA	Telomeric	MY2741
I	130000	140000	22	135000	14	105	No	NA	Telomeric	MY2741
I	140000	150000	11	145000	15	105	No	NA	Telomeric	MY2741
I	150000	160000	18	155000	16	105	No	NA	Telomeric	MY2741
I	160000	170000	19	165000	17	105	No	NA	Telomeric	MY2741
I	170000	180000	17	175000	18	105	No	NA	Telomeric	MY2741
I	180000	190000	20	185000	19	105	No	NA	Telomeric	MY2741
I	190000	200000	18	195000	20	105	No	NA	Telomeric	MY2741
I	200000	210000	29	205000	21	105	No	NA	Telomeric	MY2741
I	210000	220000	19	215000	22	105	No	NA	Telomeric	MY2741
I	220000	230000	22	225000	23	105	No	NA	Telomeric	MY2741
I	230000	240000	61	235000	24	64	Yes	Up	Telomeric	MY2741
I	240000	250000	16	245000	25	105	No	NA	Telomeric	MY2741
I	250000	260000	35	255000	26	105	No	NA	Telomeric	MY2741
I	260000	270000	23	265000	27	105	No	NA	Telomeric	MY2741
I	270000	280000	26	275000	28	105	No	NA	Telomeric	MY2741
I	280000	290000	25	285000	29	105	No	NA	Telomeric	MY2741
I	290000	300000	19	295000	30	105	No	NA	Telomeric	MY2741
I	300000	310000	20	305000	31	105	No	NA	Telomeric	MY2741
I	310000	320000	23	315000	32	105	No	NA	Telomeric	MY2741
I	320000	330000	17	325000	33	105	No	NA	Telomeric	MY2741
I	330000	340000	26	335000	34	105	No	NA	Telomeric	MY2741
I	340000	350000	27	345000	35	105	No	NA	Telomeric	MY2741
I	350000	360000	13	355000	36	105	No	NA	Telomeric	MY2741
