CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	38	5000	1	105	No	NA	Telomeric	ED3046
I	10000	20000	26	15000	2	105	No	NA	Telomeric	ED3046
I	20000	30000	20	25000	3	105	No	NA	Telomeric	ED3046
I	30000	40000	20	35000	4	105	No	NA	Telomeric	ED3046
I	40000	50000	25	45000	5	105	No	NA	Telomeric	ED3046
I	50000	60000	13	55000	6	105	No	NA	Telomeric	ED3046
I	60000	70000	21	65000	7	105	No	NA	Telomeric	ED3046
I	70000	80000	24	75000	8	105	No	NA	Telomeric	ED3046
I	80000	90000	21	85000	9	105	No	NA	Telomeric	ED3046
I	90000	100000	23	95000	10	105	No	NA	Telomeric	ED3046
I	100000	110000	24	105000	11	105	No	NA	Telomeric	ED3046
I	110000	120000	18	115000	12	105	No	NA	Telomeric	ED3046
I	120000	130000	27	125000	13	105	No	NA	Telomeric	ED3046
I	130000	140000	22	135000	14	105	No	NA	Telomeric	ED3046
I	140000	150000	12	145000	15	105	No	NA	Telomeric	ED3046
I	150000	160000	14	155000	16	105	No	NA	Telomeric	ED3046
I	160000	170000	20	165000	17	105	No	NA	Telomeric	ED3046
I	170000	180000	20	175000	18	105	No	NA	Telomeric	ED3046
I	180000	190000	17	185000	19	105	No	NA	Telomeric	ED3046
I	190000	200000	26	195000	20	105	No	NA	Telomeric	ED3046
I	200000	210000	30	205000	21	105	No	NA	Telomeric	ED3046
I	210000	220000	27	215000	22	105	No	NA	Telomeric	ED3046
I	220000	230000	30	225000	23	105	No	NA	Telomeric	ED3046
I	230000	240000	54	235000	24	105	No	NA	Telomeric	ED3046
I	240000	250000	21	245000	25	105	No	NA	Telomeric	ED3046
I	250000	260000	35	255000	26	105	No	NA	Telomeric	ED3046
I	260000	270000	28	265000	27	105	No	NA	Telomeric	ED3046
I	270000	280000	32	275000	28	105	No	NA	Telomeric	ED3046
I	280000	290000	24	285000	29	105	No	NA	Telomeric	ED3046
I	290000	300000	19	295000	30	105	No	NA	Telomeric	ED3046
I	300000	310000	23	305000	31	105	No	NA	Telomeric	ED3046
I	310000	320000	24	315000	32	105	No	NA	Telomeric	ED3046
I	320000	330000	23	325000	33	105	No	NA	Telomeric	ED3046
I	330000	340000	30	335000	34	105	No	NA	Telomeric	ED3046
I	340000	350000	32	345000	35	105	No	NA	Telomeric	ED3046
I	350000	360000	26	355000	36	105	No	NA	Telomeric	ED3046
I	360000	370000	26	365000	37	105	No	NA	Telomeric	ED3046
I	370000	380000	42	375000	38	105	No	NA	Telomeric	ED3046
I	380000	390000	29	385000	39	105	No	NA	Telomeric	ED3046
I	390000	400000	22	395000	40	105	No	NA	Telomeric	ED3046
