CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	46	5000	1	105	No	NA	Telomeric	XZ1514
I	10000	20000	43	15000	2	105	No	NA	Telomeric	XZ1514
I	20000	30000	28	25000	3	105	No	NA	Telomeric	XZ1514
I	30000	40000	33	35000	4	105	No	NA	Telomeric	XZ1514
I	40000	50000	33	45000	5	105	No	NA	Telomeric	XZ1514
I	50000	60000	29	55000	6	105	No	NA	Telomeric	XZ1514
I	60000	70000	41	65000	7	105	No	NA	Telomeric	XZ1514
I	70000	80000	38	75000	8	105	No	NA	Telomeric	XZ1514
I	80000	90000	22	85000	9	105	No	NA	Telomeric	XZ1514
I	90000	100000	20	95000	10	105	No	NA	Telomeric	XZ1514
I	100000	110000	32	105000	11	105	No	NA	Telomeric	XZ1514
I	110000	120000	13	115000	12	105	No	NA	Telomeric	XZ1514
I	120000	130000	21	125000	13	105	No	NA	Telomeric	XZ1514
I	130000	140000	26	135000	14	105	No	NA	Telomeric	XZ1514
I	140000	150000	16	145000	15	105	No	NA	Telomeric	XZ1514
I	150000	160000	18	155000	16	105	No	NA	Telomeric	XZ1514
I	160000	170000	34	165000	17	105	No	NA	Telomeric	XZ1514
I	170000	180000	24	175000	18	105	No	NA	Telomeric	XZ1514
I	180000	190000	21	185000	19	105	No	NA	Telomeric	XZ1514
I	190000	200000	25	195000	20	105	No	NA	Telomeric	XZ1514
I	200000	210000	31	205000	21	105	No	NA	Telomeric	XZ1514
I	210000	220000	33	215000	22	105	No	NA	Telomeric	XZ1514
I	220000	230000	24	225000	23	105	No	NA	Telomeric	XZ1514
I	230000	240000	69	235000	24	105	No	NA	Telomeric	XZ1514
I	240000	250000	20	245000	25	105	No	NA	Telomeric	XZ1514
I	250000	260000	30	255000	26	105	No	NA	Telomeric	XZ1514
I	260000	270000	29	265000	27	105	No	NA	Telomeric	XZ1514
I	270000	280000	37	275000	28	105	No	NA	Telomeric	XZ1514
I	280000	290000	29	285000	29	105	No	NA	Telomeric	XZ1514
I	290000	300000	26	295000	30	105	No	NA	Telomeric	XZ1514
I	300000	310000	21	305000	31	105	No	NA	Telomeric	XZ1514
I	310000	320000	27	315000	32	105	No	NA	Telomeric	XZ1514
I	320000	330000	24	325000	33	105	No	NA	Telomeric	XZ1514
I	330000	340000	35	335000	34	105	No	NA	Telomeric	XZ1514
I	340000	350000	43	345000	35	105	No	NA	Telomeric	XZ1514
I	350000	360000	39	355000	36	105	No	NA	Telomeric	XZ1514
I	360000	370000	36	365000	37	105	No	NA	Telomeric	XZ1514
I	370000	380000	46	375000	38	105	No	NA	Telomeric	XZ1514
I	380000	390000	37	385000	39	105	No	NA	Telomeric	XZ1514
I	390000	400000	54	395000	40	105	No	NA	Telomeric	XZ1514
I	400000	410000	74	405000	41	105	No	NA	Telomeric	XZ1514
I	410000	420000	40	415000	42	105	No	NA	Telomeric	XZ1514
I	420000	430000	36	425000	43	105	No	NA	Telomeric	XZ1514
I	430000	440000	54	435000	44	105	No	NA	Telomeric	XZ1514
I	440000	450000	44	445000	45	105	No	NA	Telomeric	XZ1514
I	450000	460000	44	455000	46	105	No	NA	Telomeric	XZ1514
I	460000	470000	41	465000	47	105	No	NA	Telomeric	XZ1514
I	470000	480000	58	475000	48	105	No	NA	Telomeric	XZ1514
I	480000	490000	57	485000	49	105	No	NA	Telomeric	XZ1514
I	490000	500000	49	495000	50	105	No	NA	Telomeric	XZ1514
I	500000	510000	61	505000	51	105	No	NA	Telomeric	XZ1514
I	510000	520000	39	515000	52	105	No	NA	Telomeric	XZ1514
I	520000	530000	30	525000	53	105	No	NA	Telomeric	XZ1514
I	530000	540000	22	535000	54	105	No	NA	LEFT_ARM	XZ1514
I	540000	550000	33	545000	55	105	No	NA	LEFT_ARM	XZ1514
I	550000	560000	32	555000	56	105	No	NA	LEFT_ARM	XZ1514
I	560000	570000	35	565000	57	105	No	NA	LEFT_ARM	XZ1514
I	570000	580000	28	575000	58	105	No	NA	LEFT_ARM	XZ1514
I	580000	590000	30	585000	59	105	No	NA	LEFT_ARM	XZ1514
I	590000	600000	24	595000	60	105	No	NA	LEFT_ARM	XZ1514
I	600000	610000	92	605000	61	67	No	NA	LEFT_ARM	XZ1514
I	610000	620000	45	615000	62	105	No	NA	LEFT_ARM	XZ1514
I	620000	630000	56	625000	63	105	No	NA	LEFT_ARM	XZ1514
I	630000	640000	42	635000	64	105	No	NA	LEFT_ARM	XZ1514
I	640000	650000	50	645000	65	105	No	NA	LEFT_ARM	XZ1514
I	650000	660000	81	655000	66	105	No	NA	LEFT_ARM	XZ1514
I	660000	670000	45	665000	67	105	No	NA	LEFT_ARM	XZ1514
I	670000	680000	42	675000	68	105	No	NA	LEFT_ARM	XZ1514
I	680000	690000	61	685000	69	105	No	NA	LEFT_ARM	XZ1514
I	690000	700000	77	695000	70	105	No	NA	LEFT_ARM	XZ1514
I	700000	710000	50	705000	71	105	No	NA	LEFT_ARM	XZ1514
I	710000	720000	60	715000	72	105	No	NA	LEFT_ARM	XZ1514
I	720000	730000	53	725000	73	105	No	NA	LEFT_ARM	XZ1514
I	730000	740000	65	735000	74	105	No	NA	LEFT_ARM	XZ1514
I	740000	750000	53	745000	75	105	No	NA	LEFT_ARM	XZ1514
I	750000	760000	36	755000	76	105	No	NA	LEFT_ARM	XZ1514
I	760000	770000	25	765000	77	105	No	NA	LEFT_ARM	XZ1514
I	770000	780000	62	775000	78	105	No	NA	LEFT_ARM	XZ1514
I	780000	790000	129	785000	79	40	Yes	Up	LEFT_ARM	XZ1514
I	790000	800000	53	795000	80	105	No	NA	LEFT_ARM	XZ1514
I	800000	810000	75	805000	81	105	No	NA	LEFT_ARM	XZ1514
