CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	24	5000	1	105	No	NA	Telomeric	QG2875
I	10000	20000	26	15000	2	105	No	NA	Telomeric	QG2875
I	20000	30000	24	25000	3	105	No	NA	Telomeric	QG2875
I	30000	40000	26	35000	4	105	No	NA	Telomeric	QG2875
I	40000	50000	26	45000	5	105	No	NA	Telomeric	QG2875
I	50000	60000	14	55000	6	105	No	NA	Telomeric	QG2875
I	60000	70000	21	65000	7	105	No	NA	Telomeric	QG2875
I	70000	80000	25	75000	8	105	No	NA	Telomeric	QG2875
I	80000	90000	23	85000	9	105	No	NA	Telomeric	QG2875
I	90000	100000	21	95000	10	105	No	NA	Telomeric	QG2875
I	100000	110000	32	105000	11	105	No	NA	Telomeric	QG2875
I	110000	120000	20	115000	12	105	No	NA	Telomeric	QG2875
I	120000	130000	21	125000	13	105	No	NA	Telomeric	QG2875
I	130000	140000	22	135000	14	105	No	NA	Telomeric	QG2875
I	140000	150000	11	145000	15	105	No	NA	Telomeric	QG2875
I	150000	160000	16	155000	16	105	No	NA	Telomeric	QG2875
I	160000	170000	18	165000	17	105	No	NA	Telomeric	QG2875
I	170000	180000	15	175000	18	105	No	NA	Telomeric	QG2875
I	180000	190000	18	185000	19	105	No	NA	Telomeric	QG2875
I	190000	200000	27	195000	20	105	No	NA	Telomeric	QG2875
I	200000	210000	29	205000	21	105	No	NA	Telomeric	QG2875
I	210000	220000	20	215000	22	105	No	NA	Telomeric	QG2875
I	220000	230000	25	225000	23	105	No	NA	Telomeric	QG2875
I	230000	240000	51	235000	24	65	Yes	Up	Telomeric	QG2875
I	240000	250000	16	245000	25	105	No	NA	Telomeric	QG2875
I	250000	260000	36	255000	26	105	No	NA	Telomeric	QG2875
I	260000	270000	29	265000	27	105	No	NA	Telomeric	QG2875
I	270000	280000	32	275000	28	105	No	NA	Telomeric	QG2875
I	280000	290000	26	285000	29	105	No	NA	Telomeric	QG2875
I	290000	300000	18	295000	30	105	No	NA	Telomeric	QG2875
I	300000	310000	20	305000	31	105	No	NA	Telomeric	QG2875
I	310000	320000	27	315000	32	105	No	NA	Telomeric	QG2875
I	320000	330000	21	325000	33	105	No	NA	Telomeric	QG2875
I	330000	340000	28	335000	34	105	No	NA	Telomeric	QG2875
I	340000	350000	31	345000	35	105	No	NA	Telomeric	QG2875
I	350000	360000	22	355000	36	105	No	NA	Telomeric	QG2875
I	360000	370000	19	365000	37	105	No	NA	Telomeric	QG2875
I	370000	380000	33	375000	38	105	No	NA	Telomeric	QG2875
I	380000	390000	24	385000	39	105	No	NA	Telomeric	QG2875
I	390000	400000	32	395000	40	105	No	NA	Telomeric	QG2875
I	400000	410000	29	405000	41	105	No	NA	Telomeric	QG2875
I	410000	420000	32	415000	42	105	No	NA	Telomeric	QG2875
I	420000	430000	23	425000	43	105	No	NA	Telomeric	QG2875
I	430000	440000	32	435000	44	105	No	NA	Telomeric	QG2875
I	440000	450000	26	445000	45	105	No	NA	Telomeric	QG2875
I	450000	460000	16	455000	46	105	No	NA	Telomeric	QG2875
I	460000	470000	32	465000	47	105	No	NA	Telomeric	QG2875
I	470000	480000	35	475000	48	105	No	NA	Telomeric	QG2875
I	480000	490000	33	485000	49	105	No	NA	Telomeric	QG2875
I	490000	500000	31	495000	50	105	No	NA	Telomeric	QG2875
I	500000	510000	17	505000	51	105	No	NA	Telomeric	QG2875
I	510000	520000	23	515000	52	105	No	NA	Telomeric	QG2875
I	520000	530000	14	525000	53	105	No	NA	Telomeric	QG2875
I	530000	540000	12	535000	54	105	No	NA	LEFT_ARM	QG2875
I	540000	550000	30	545000	55	105	No	NA	LEFT_ARM	QG2875
I	550000	560000	12	555000	56	105	No	NA	LEFT_ARM	QG2875
I	560000	570000	30	565000	57	105	No	NA	LEFT_ARM	QG2875
I	570000	580000	20	575000	58	105	No	NA	LEFT_ARM	QG2875
I	580000	590000	26	585000	59	105	No	NA	LEFT_ARM	QG2875
I	590000	600000	25	595000	60	105	No	NA	LEFT_ARM	QG2875
I	600000	610000	24	605000	61	105	No	NA	LEFT_ARM	QG2875
I	610000	620000	49	615000	62	105	No	NA	LEFT_ARM	QG2875
I	620000	630000	79	625000	63	20	Yes	Up	LEFT_ARM	QG2875
I	630000	640000	66	635000	64	55	Yes	Up	LEFT_ARM	QG2875
I	640000	650000	61	645000	65	105	No	NA	LEFT_ARM	QG2875
I	650000	660000	61	655000	66	105	No	NA	LEFT_ARM	QG2875
I	660000	670000	57	665000	67	105	No	NA	LEFT_ARM	QG2875
I	670000	680000	76	675000	68	26	Yes	Up	LEFT_ARM	QG2875
I	680000	690000	46	685000	69	105	No	NA	LEFT_ARM	QG2875
I	690000	700000	69	695000	70	45	Yes	Up	LEFT_ARM	QG2875
I	700000	710000	66	705000	71	61	Yes	Up	LEFT_ARM	QG2875
I	710000	720000	84	715000	72	18	Yes	Up	LEFT_ARM	QG2875
I	720000	730000	27	725000	73	105	No	NA	LEFT_ARM	QG2875
I	730000	740000	24	735000	74	105	No	NA	LEFT_ARM	QG2875
I	740000	750000	24	745000	75	105	No	NA	LEFT_ARM	QG2875
I	750000	760000	16	755000	76	105	No	NA	LEFT_ARM	QG2875
I	760000	770000	15	765000	77	105	No	NA	LEFT_ARM	QG2875
I	770000	780000	14	775000	78	74	Yes	Down	LEFT_ARM	QG2875
I	780000	790000	18	785000	79	105	No	NA	LEFT_ARM	QG2875
I	790000	800000	20	795000	80	105	No	NA	LEFT_ARM	QG2875
I	800000	810000	27	805000	81	105	No	NA	LEFT_ARM	QG2875
I	810000	820000	23	815000	82	105	No	NA	LEFT_ARM	QG2875
I	820000	830000	30	825000	83	105	No	NA	LEFT_ARM	QG2875
I	830000	840000	34	835000	84	105	No	NA	LEFT_ARM	QG2875
I	840000	850000	13	845000	85	63	Yes	Down	LEFT_ARM	QG2875
I	850000	860000	56	855000	86	105	No	NA	LEFT_ARM	QG2875
I	860000	870000	71	865000	87	52	Yes	Up	LEFT_ARM	QG2875
I	870000	880000	67	875000	88	69	Yes	Up	LEFT_ARM	QG2875
I	880000	890000	35	885000	89	105	No	NA	LEFT_ARM	QG2875
I	890000	900000	49	895000	90	105	No	NA	LEFT_ARM	QG2875
I	900000	910000	46	905000	91	105	No	NA	LEFT_ARM	QG2875
I	910000	920000	18	915000	92	105	No	NA	LEFT_ARM	QG2875
I	920000	930000	30	925000	93	105	No	NA	LEFT_ARM	QG2875
I	930000	940000	24	935000	94	105	No	NA	LEFT_ARM	QG2875
I	940000	950000	20	945000	95	105	No	NA	LEFT_ARM	QG2875
I	950000	960000	37	955000	96	105	No	NA	LEFT_ARM	QG2875
I	960000	970000	55	965000	97	105	No	NA	LEFT_ARM	QG2875
I	970000	980000	34	975000	98	105	No	NA	LEFT_ARM	QG2875
I	980000	990000	36	985000	99	105	No	NA	LEFT_ARM	QG2875
I	990000	1000000	44	995000	100	105	No	NA	LEFT_ARM	QG2875
I	1000000	1010000	21	1005000	101	105	No	NA	LEFT_ARM	QG2875
I	1010000	1020000	29	1015000	102	105	No	NA	LEFT_ARM	QG2875
I	1020000	1030000	65	1025000	103	105	No	NA	LEFT_ARM	QG2875
I	1030000	1040000	42	1035000	104	105	No	NA	LEFT_ARM	QG2875
I	1040000	1050000	61	1045000	105	105	No	NA	LEFT_ARM	QG2875
I	1050000	1060000	54	1055000	106	105	No	NA	LEFT_ARM	QG2875
I	1060000	1070000	24	1065000	107	105	No	NA	LEFT_ARM	QG2875
I	1070000	1080000	22	1075000	108	71	Yes	Down	LEFT_ARM	QG2875
I	1080000	1090000	41	1085000	109	105	No	NA	LEFT_ARM	QG2875
I	1090000	1100000	23	1095000	110	73	Yes	Down	LEFT_ARM	QG2875
I	1100000	1110000	15	1105000	111	41	Yes	Down	LEFT_ARM	QG2875
I	1110000	1120000	30	1115000	112	105	No	NA	LEFT_ARM	QG2875
I	1120000	1130000	34	1125000	113	105	No	NA	LEFT_ARM	QG2875
I	1130000	1140000	97	1135000	114	16	Yes	Up	LEFT_ARM	QG2875
I	1140000	1150000	120	1145000	115	7	Yes	Up	LEFT_ARM	QG2875
I	1150000	1160000	69	1155000	116	105	No	NA	LEFT_ARM	QG2875
I	1160000	1170000	72	1165000	117	105	No	NA	LEFT_ARM	QG2875
I	1170000	1180000	81	1175000	118	57	Yes	Up	LEFT_ARM	QG2875
I	1180000	1190000	23	1185000	119	58	Yes	Down	LEFT_ARM	QG2875
I	1190000	1200000	80	1195000	120	62	Yes	Up	LEFT_ARM	QG2875
I	1200000	1210000	87	1205000	121	40	Yes	Up	LEFT_ARM	QG2875
I	1210000	1220000	176	1215000	122	2	Yes	Up	LEFT_ARM	QG2875
I	1220000	1230000	65	1225000	123	105	No	NA	LEFT_ARM	QG2875
I	1230000	1240000	41	1235000	124	105	No	NA	LEFT_ARM	QG2875
I	1240000	1250000	89	1245000	125	37	Yes	Up	LEFT_ARM	QG2875
I	1250000	1260000	51	1255000	126	105	No	NA	LEFT_ARM	QG2875
I	1260000	1270000	40	1265000	127	105	No	NA	LEFT_ARM	QG2875
I	1270000	1280000	47	1275000	128	105	No	NA	LEFT_ARM	QG2875
