CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	18	5000	1	105	No	NA	Telomeric	ECA812
I	10000	20000	20	15000	2	105	No	NA	Telomeric	ECA812
I	20000	30000	15	25000	3	105	No	NA	Telomeric	ECA812
I	30000	40000	25	35000	4	105	No	NA	Telomeric	ECA812
I	40000	50000	19	45000	5	105	No	NA	Telomeric	ECA812
I	50000	60000	14	55000	6	105	No	NA	Telomeric	ECA812
I	60000	70000	13	65000	7	105	No	NA	Telomeric	ECA812
I	70000	80000	25	75000	8	105	No	NA	Telomeric	ECA812
I	80000	90000	15	85000	9	105	No	NA	Telomeric	ECA812
I	90000	100000	14	95000	10	105	No	NA	Telomeric	ECA812
I	100000	110000	20	105000	11	105	No	NA	Telomeric	ECA812
I	110000	120000	9	115000	12	105	No	NA	Telomeric	ECA812
I	120000	130000	13	125000	13	105	No	NA	Telomeric	ECA812
I	130000	140000	15	135000	14	105	No	NA	Telomeric	ECA812
I	140000	150000	7	145000	15	105	No	NA	Telomeric	ECA812
I	150000	160000	14	155000	16	105	No	NA	Telomeric	ECA812
I	160000	170000	17	165000	17	105	No	NA	Telomeric	ECA812
I	170000	180000	10	175000	18	105	No	NA	Telomeric	ECA812
I	180000	190000	14	185000	19	105	No	NA	Telomeric	ECA812
I	190000	200000	17	195000	20	105	No	NA	Telomeric	ECA812
I	200000	210000	13	205000	21	105	No	NA	Telomeric	ECA812
I	210000	220000	28	215000	22	105	No	NA	Telomeric	ECA812
I	220000	230000	22	225000	23	105	No	NA	Telomeric	ECA812
I	230000	240000	45	235000	24	105	No	NA	Telomeric	ECA812
I	240000	250000	11	245000	25	105	No	NA	Telomeric	ECA812
I	250000	260000	22	255000	26	105	No	NA	Telomeric	ECA812
I	260000	270000	15	265000	27	105	No	NA	Telomeric	ECA812
I	270000	280000	19	275000	28	105	No	NA	Telomeric	ECA812
I	280000	290000	20	285000	29	105	No	NA	Telomeric	ECA812
I	290000	300000	17	295000	30	105	No	NA	Telomeric	ECA812
I	300000	310000	16	305000	31	105	No	NA	Telomeric	ECA812
I	310000	320000	15	315000	32	105	No	NA	Telomeric	ECA812
I	320000	330000	13	325000	33	105	No	NA	Telomeric	ECA812
I	330000	340000	17	335000	34	105	No	NA	Telomeric	ECA812
I	340000	350000	20	345000	35	105	No	NA	Telomeric	ECA812
I	350000	360000	16	355000	36	105	No	NA	Telomeric	ECA812
I	360000	370000	19	365000	37	105	No	NA	Telomeric	ECA812
I	370000	380000	29	375000	38	105	No	NA	Telomeric	ECA812
I	380000	390000	21	385000	39	105	No	NA	Telomeric	ECA812
I	390000	400000	33	395000	40	105	No	NA	Telomeric	ECA812
I	400000	410000	38	405000	41	105	No	NA	Telomeric	ECA812
I	410000	420000	31	415000	42	105	No	NA	Telomeric	ECA812
I	420000	430000	20	425000	43	105	No	NA	Telomeric	ECA812
I	430000	440000	33	435000	44	105	No	NA	Telomeric	ECA812
I	440000	450000	30	445000	45	105	No	NA	Telomeric	ECA812
I	450000	460000	19	455000	46	105	No	NA	Telomeric	ECA812
