CHROM	START_BIN	END_BIN	COUNT	MID_BIN	index	rank	outlier	direction	GENOMIC_REGION	STRAIN
I	0	10000	33	5000	1	105	No	NA	Telomeric	LKC34
I	10000	20000	23	15000	2	105	No	NA	Telomeric	LKC34
I	20000	30000	17	25000	3	105	No	NA	Telomeric	LKC34
I	30000	40000	20	35000	4	105	No	NA	Telomeric	LKC34
I	40000	50000	24	45000	5	105	No	NA	Telomeric	LKC34
I	50000	60000	13	55000	6	105	No	NA	Telomeric	LKC34
I	60000	70000	21	65000	7	105	No	NA	Telomeric	LKC34
I	70000	80000	20	75000	8	105	No	NA	Telomeric	LKC34
I	80000	90000	19	85000	9	105	No	NA	Telomeric	LKC34
I	90000	100000	22	95000	10	105	No	NA	Telomeric	LKC34
I	100000	110000	25	105000	11	105	No	NA	Telomeric	LKC34
I	110000	120000	17	115000	12	105	No	NA	Telomeric	LKC34
I	120000	130000	26	125000	13	105	No	NA	Telomeric	LKC34
I	130000	140000	22	135000	14	105	No	NA	Telomeric	LKC34
I	140000	150000	13	145000	15	105	No	NA	Telomeric	LKC34
I	150000	160000	13	155000	16	105	No	NA	Telomeric	LKC34
I	160000	170000	20	165000	17	105	No	NA	Telomeric	LKC34
I	170000	180000	18	175000	18	105	No	NA	Telomeric	LKC34
I	180000	190000	17	185000	19	105	No	NA	Telomeric	LKC34
I	190000	200000	22	195000	20	105	No	NA	Telomeric	LKC34
I	200000	210000	25	205000	21	105	No	NA	Telomeric	LKC34
I	210000	220000	26	215000	22	105	No	NA	Telomeric	LKC34
I	220000	230000	27	225000	23	105	No	NA	Telomeric	LKC34
I	230000	240000	62	235000	24	17	Yes	Up	Telomeric	LKC34
I	240000	250000	20	245000	25	105	No	NA	Telomeric	LKC34
I	250000	260000	32	255000	26	105	No	NA	Telomeric	LKC34
I	260000	270000	26	265000	27	105	No	NA	Telomeric	LKC34
I	270000	280000	25	275000	28	105	No	NA	Telomeric	LKC34
I	280000	290000	21	285000	29	105	No	NA	Telomeric	LKC34
I	290000	300000	19	295000	30	105	No	NA	Telomeric	LKC34
I	300000	310000	23	305000	31	105	No	NA	Telomeric	LKC34
I	310000	320000	24	315000	32	105	No	NA	Telomeric	LKC34
I	320000	330000	17	325000	33	105	No	NA	Telomeric	LKC34
I	330000	340000	29	335000	34	105	No	NA	Telomeric	LKC34
I	340000	350000	31	345000	35	105	No	NA	Telomeric	LKC34
I	350000	360000	24	355000	36	105	No	NA	Telomeric	LKC34
I	360000	370000	24	365000	37	105	No	NA	Telomeric	LKC34
I	370000	380000	36	375000	38	105	No	NA	Telomeric	LKC34
I	380000	390000	27	385000	39	105	No	NA	Telomeric	LKC34
I	390000	400000	23	395000	40	105	No	NA	Telomeric	LKC34
I	400000	410000	41	405000	41	105	No	NA	Telomeric	LKC34
I	410000	420000	29	415000	42	105	No	NA	Telomeric	LKC34
I	420000	430000	23	425000	43	105	No	NA	Telomeric	LKC34
